"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"1600000045_","Store 1600000045_ - (R.S. Trevisan, 2004)","R.S. Trevisan","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000089_","Store 1600000089_ - (Ortolani, 2004)","Ortolani","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000110_","Store 1600000110_ - (Trevisan, 2004)","Trevisan","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000149_","Store 1600000149_ - (Rovoletto, 2004)","Rovoletto","Accessories","46.42","46.42.1","","","","","","","FALSE","Tuesday","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000193_","Store 1600000193_ - (Mandarina Duck, 2004)","Mandarina Duck","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000344_","Store 1600000344_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000345_","Store 1600000345_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000349_","Store 1600000349_ - (Trevisan, 2004)","Trevisan","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000513_","Store 1600000513_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","FALSE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000785_","Store 1600000785_ - (Reyer, 2009)","Reyer","Accessories","46.42","46.42.1","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000787_","Store 1600000787_ - (Bampa, 2012)","Bampa","Accessories","46.42","46.42.1","","","","","","","TRUE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000818_","Store 1600000818_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","FALSE","Sunday","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001007_","Store 1600001007_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001136_","Store 1600001136_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","FALSE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001282_","Store 1600001282_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","FALSE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001749_","Store 1600001749_ - (2004)","","Accessories","46.42","46.42.1","","","","","","","FALSE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001758A","Store 1600001758A - (Thousand Colors Venezia, 2009)","Thousand Colors Venezia","Accessories","46.42","46.42.1","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001806_","Store 1600001806_ - (Bijou M@rie, 2009)","Bijou M@rie","Accessories","46.42","46.42.1","","","","","","","FALSE","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003653_","Store 1600003653_ - (Paolo Olbi Articoli da Regalo, 2004)","Paolo Olbi Articoli da Regalo","Accessories","46.42","46.42.1","","","","","","","FALSE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003655_","Store 1600003655_ - (Dijoux Chiara, 2012)","Dijoux Chiara","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003715_","Store 1600003715_ - (La Nuova Cortesia, 2012)","La Nuova Cortesia","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003720B","Store 1600003720B - (2009)","","Accessories","46.42","46.42.1","","","","","","","TRUE","Monday","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003721_","Store 1600003721_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","FALSE","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003728_","Store 1600003728_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004371_","Store 1600004371_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004745_","Store 1600004745_ - (Testoni, 2009)","Testoni","Accessories","46.42","46.42.1","","","","","","","FALSE","Sunday","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004813_","Store 1600004813_ - (Bottega D'arte, 2009)","Bottega D'arte","Accessories","46.42","46.42.1","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004818_","Store 1600004818_ - (Too Late, 2012)","Too Late","Accessories","46.42","46.42.1","","","","","","","FALSE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004822_","Store 1600004822_ - (Borsalino, 2009)","Borsalino","Accessories","46.42","46.42.1","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004831_","Store 1600004831_ - (Furla, 2009)","Furla","Accessories","46.42","46.42.1","","","","","","","FALSE","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004918_","Store 1600004918_ - (Tosca Blu, 2012)","Tosca Blu","Accessories","46.42","46.42.1","","","","","","","FALSE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004919_","Store 1600004919_ - (Bally, 2009)","Bally","Accessories","46.42","46.42.1","","","","","","","FALSE","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004941_","Store 1600004941_ - (Goldenpoint, 2009)","Goldenpoint","Accessories","46.42","46.42.1","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004947_","Store 1600004947_ - (Swatch, 2012)","Swatch","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004957_","Store 1600004957_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004958_","Store 1600004958_ - (Coccinelle, 2009)","Coccinelle","Accessories","46.42","46.42.1","","","","","","","FALSE","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600005332_","Store 1600005332_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600005473_","Store 1600005473_ - (Bagghy, 2012)","Bagghy","Accessories","46.42","46.42.1","","","","","","","FALSE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600005542_","Store 1600005542_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000025_","Store 1621000025_ - (2004)","","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000045_","Store 1621000045_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000061_","Store 1621000061_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","FALSE","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000089_","Store 1621000089_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000416_","Store 1621000416_ - (Holuc, 2004)","Holuc","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000773A","Store 1621000773A - (Francis Madel, 2010)","Francis Madel","Accessories","46.42","46.42.1","","","","","","","FALSE","","2010","2012","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000782_","Store 1621000782_ - (Fullspot Market, 2012)","Fullspot Market","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000784_","Store 1621000784_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001078_","Store 1621001078_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","TRUE","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001226_","Store 1621001226_ - (Serena Vianello, 2012)","Serena Vianello","Accessories","46.42","46.42.1","","","","","","","TRUE","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001590_","Store 1621001590_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","FALSE","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001595_","Store 1621001595_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002102A","Store 1621002102A - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002235_","Store 1621002235_ - (Monica Bariele, 2012)","Monica Bariele","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002398_","Store 1621002398_ - (Tabarri Cappelli, 2012)","Tabarri Cappelli","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002614A","Store 1621002614A - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002768A","Store 1621002768A - (Sabbie e Nebbie, 2012)","Sabbie e Nebbie","Accessories","46.42","46.42.1","","","","","","","TRUE","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002799_","Store 1621002799_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002852_","Store 1621002852_ - (2010)","","Accessories","46.42","46.42.1","","","","","","","TRUE","Sunday","2010","2012","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278001241_","Store 0278001241_ - (2012)","","Antiques","47.79","47.79.2","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278004557_","Store 0278004557_ - (2009)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Sunday","1990","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278004559A","Store 0278004559A - (2012)","","Antiques","47.79","47.79.2","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278005049A","Store 0278005049A - (2009)","","Antiques","47.79","47.79.2","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278005401D","Store 0278005401D - (2012)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Saturday afternoon, Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278005993_","Store 0278005993_ - (Il Mercante dei Miracoli, 2005)","Il Mercante dei Miracoli","Antiques","47.79","47.79.2","","","","","","","","","2005","2012","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278006029B","Store 0278006029B - (2005)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Monday morning, Sunday","2000","2012","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278006066_","Store 0278006066_ - (Antichita', 2009)","Antichita'","Antiques","47.79","47.79.2","","","","","","","","","2000","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278006420_","Store 0278006420_ - (2012)","","Antiques","47.79","47.79.2","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707000523_","Store 0707000523_ - (2005)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Tuesday","1985","2012","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707000860A","Store 0707000860A - (2005)","","Antiques","47.79","47.79.2","","","","","","","TRUE","","1980","2012","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707000873A","Store 0707000873A - (Antiquus Caria C. Jewels, 2004)","Antiquus Caria C. Jewels","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002779_","Store 0707002779_ - (Canestrelli, 2004)","Canestrelli","Antiques","47.79","47.79.2","","","","","","","TRUE","Saturday, Sunday","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002899_","Store 0707002899_ - (Zardin Antichita, 2005)","Zardin Antichita","Antiques","47.79","47.79.2","","","","","","","","","1970","2012","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707002917_","Store 0707002917_ - (2012)","","Antiques","47.79","47.79.2","","","","","","","","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003173_","Store 0707003173_ - (2005)","","Antiques","47.79","47.79.2","","","","","","","","","2005","2012","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003174A","Store 0707003174A - (2004)","","Antiques","47.79","47.79.2","","","","","","","TRUE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003183_","Store 0707003183_ - (2012)","","Antiques","47.79","47.79.2","","","","","","","TRUE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003280_","Store 0707003280_ - (2010)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Thursday","2010","2012","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003282_","Store 0707003282_ - (2012)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003750_","Store 0707003750_ - (Antichita San Pantalon, 2004)","Antichita San Pantalon","Antiques","47.79","47.79.2","","","","","","","TRUE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003804_","Store 0707003804_ - (2012)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561000154_","Store 1561000154_ - (Antique shop, 2004)","Antique shop","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561002074_","Store 1561002074_ - (Toni dalla Venezia, 2004)","Toni dalla Venezia","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561002092_","Store 1561002092_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600000815_","Store 1600000815_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001567_","Store 1600001567_ - (Antichita' Antiques, 2004)","Antichita' Antiques","Antiques","47.79","47.79.2","","","","","","","TRUE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001725_","Store 1600001725_ - (Galleria Antiquaria S. Marco, 2012)","Galleria Antiquaria S. Marco","Antiques","47.79","47.79.2","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001762_","Store 1600001762_ - (Houshang Rachtian, 2012)","Houshang Rachtian","Antiques","47.79","47.79.2","","","","","","","TRUE","Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001831_","Store 1600001831_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001865_","Store 1600001865_ - (Antichita Marciana, 2009)","Antichita Marciana","Antiques","47.79","47.79.2","","","","","","","TRUE","Monday morning, Sunday","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600001898_","Store 1600001898_ - (Venetia Studium, 2009)","Venetia Studium","Antiques","47.79","47.79.2","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002070_","Store 1600002070_ - (Antichita Cesana, 2004)","Antichita Cesana","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002432_","Store 1600002432_ - (Angela Rosa Greco, 2004)","Angela Rosa Greco","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002666_","Store 1600002666_ - (Antichita V. Crois, 2004)","Antichita V. Crois","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002766_","Store 1600002766_ - (Claudio Gianolla Antiqua, 2009)","Claudio Gianolla Antiqua","Antiques","47.79","47.79.2","","","","","","","TRUE","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002863A","Store 1600002863A - (Gavalier Indorator Lacador, 2004)","Gavalier Indorator Lacador","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002972_","Store 1600002972_ - (Kleine Galerie, 2004)","Kleine Galerie","Antiques","47.79","47.79.2","","","","","","","TRUE","Monday morning","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002973_","Store 1600002973_ - (Maurizio Laurenzo, 2012)","Maurizio Laurenzo","Antiques","47.79","47.79.2","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600002974_","Store 1600002974_ - (Artigianato Veneziano, 2004)","Artigianato Veneziano","Antiques","47.79","47.79.2","","","","","","","FALSE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003083_","Store 1600003083_ - (Sorciere di Alberto Gallo, 2004)","Sorciere di Alberto Gallo","Antiques","47.79","47.79.2","","","","","","","FALSE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003130_","Store 1600003130_ - (Antichita San Samuele, 2004)","Antichita San Samuele","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003208_","Store 1600003208_ - (Stefano Zanin, 2004)","Stefano Zanin","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003451_","Store 1600003451_ - (Gaggio, 2004)","Gaggio","Antiques","47.79","47.79.2","","","","","","","TRUE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003532_","Store 1600003532_ - (Rigattieri, 2009)","Rigattieri","Antiques","47.79","47.79.2","","","","","","","TRUE","Monday morning","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003661_","Store 1600003661_ - (Antichita La Colonnia, 2004)","Antichita La Colonnia","Antiques","47.79","47.79.2","","","","","","","TRUE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004645_","Store 1600004645_ - (2012)","","Antiques","47.79","47.79.2","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600004778_","Store 1600004778_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","TRUE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000412_","Store 1621000412_ - (Antichita Gianfranco Foti, 2004)","Antichita Gianfranco Foti","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621000821B","Store 1621000821B - (2012)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Friday, Saturday, Sunday","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621001566_","Store 1621001566_ - (Gicielli Veneziani, 2012)","Gicielli Veneziani","Antiques","47.79","47.79.2","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002176_","Store 1621002176_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","TRUE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002581_","Store 1621002581_ - (Antiquarrato & Vetri Soffiati, 2012)","Antiquarrato & Vetri Soffiati","Antiques","47.79","47.79.2","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002862_","Store 1621002862_ - (Guarinani, 2004)","Guarinani","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002898B","Store 1621002898B - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621002914_","Store 1621002914_ - (2010)","","Antiques","47.79","47.79.2","","","","","","","","","2010","2012","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621003093_","Store 1621003093_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","TRUE","Sunday","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1621003144_","Store 1621003144_ - (2004)","","Antiques","47.79","47.79.2","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278001804_","Store 0278001804_ - (Al Portica, 2012)","Al Portica","Apartment rental","55.2","55.20.5","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561000877_","Store 1561000877_ - (Ca' Rio Marin, 2012)","Ca' Rio Marin","Apartment rental","55.2","55.20.5","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1600003221_","Store 1600003221_ - (Sarai Apartments, 2012)","Sarai Apartments","Apartment rental","55.2","55.20.5","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
